JobRefNo,DigerPozisyon,Qualifications,sub-classification
3446752,Barmaidler,<p>şişli elmadaginda bulunan turizm ruhsatli elit ve güvenli mekanimiza aksam 22:00' dan sabah 05:00' a kadar günlük yüksek ücretle çalisacak tecrübeli tecrübesiz genç fiziği ve diksiyonu düzgün bayan barmeidler alinacaktir<br></p>,Restoran Hizmetleri
3446750,Barista Aranıyor,"<p>Ekibimize Katılacak Barista Arkadaşlar Aranıyor. Güler Yüzlü, Dinamik, İnsan İlişkileri Yüksek, Esnek Çalışma Saatlerine Uyumlu, Baristalar Arıyoruz.</p>",Restoran Hizmetleri
3446748,Aşçı Yardımcısı,"<p class=""x_p1"">Casalinn Boutique Otel ve bünyesinde bulunan Jardin 96 restoran olarak Çanakkale Küçükkuyu da özgün ,modern yapısı ve prensipleriyle bölgenin en iyi otel ve restoranı ünvanına sahip bir işletme olarak hizmet vermekteyiz.&nbsp;</p><p class=""x_p1"">Bugünlere gelmemize emekleriyle ;yardım ve eşlik eden tüm çalışma kadrolarımızı işletmelerimizin , işleyişimizin önemli parçası olarak görmekteyiz.</p><p class=""x_p1"">Siz de ailemize katılmak isterseniz Otel ve restoranımızın farklı iş kolları için çalışma arkadaşları arayışımız bulunmaktadır.</p><p class=""x_p1"">Bu doğrultuda çalışma arkadaşlarımıza niteliklerine uygun çalışma ve barınma ortamı, bulunduğu pozisyona uygun ücret ve zamanında ödemelerinin yapılması sağlanacaktır.</p><p class=""x_p1""><br></p><p class=""x_p1""><u>Genel Nitelikler ve İş Tanımı</u></p><p class=""x_p1"">İlgili lise , MYO veya Üniversitelerden mezun,</p><p class=""x_p1""><br></p><p class=""x_p1"">Şefin yönlendirmeleri doğrultusunda otel mutfağının idare ,organize ve kontrolünü yapabilecek,</p><p class=""x_p1""><br></p><p class=""x_p1"">Menü ve A’la Carte restoran servisinin porsiyon ve ön hazırlığını yapabilecek,</p><p class=""x_p1""><br></p><p class=""x_p1"">İnovatif bakış açısına sahip gastronomideki gelişmeleri otel vizyonu ile entegre edip menülere yansıtabilecek,</p><p class=""x_p1""><br></p><p class=""x_p1"">Türk ve Dünya mutfağında sıcak ve soğuk mutfak bilgisine sahip,</p><p class=""x_p1""><br></p><p class=""x_p1"">Benzer pozisyonda en az 2 yıl iş tecrübesi olan,</p><p class=""x_p2""><br></p><p class=""x_p1"">Ekip çalışmasına yatkın,</p><p class=""x_p2""><br></p><p class=""x_p1"">İletişim yeteneği güçlü takım arkadaşları aramaktayız.</p>",Aşçılık
3446733,Nusr-Et Garson,"<p>Yiyecek ve içecek dünyasına yeni bir yorum getiren Nusr-Et; <strong>Garson</strong>&nbsp;pozisyonunda takım arkadaşları arıyor.<br></p><p><br></p><p><strong><u>Genel Nitelikler</u></strong><br></p><ul type=""disc""><li class=""x_x_x_MsoNormal"">İlgili bölümlerden en az Ön lisans mezunu, </li><li class=""x_x_x_MsoNormal"">Akıcı olarak İngilizce iletişim kurabilen, </li><li class=""x_x_x_MsoNormal"">En az 5 yıl premium restoranlarda Servis & Bar tecrübesi olan,</li><li class=""x_x_x_MsoNormal"">Çözüm odaklı, enerjik ve dışadönük, </li><li class=""x_x_x_MsoNormal"">Yoğun iş temposuna, vardiya sistemine ve esnek çalışma saatlerine uyum sağlayabilecek.</li></ul><p class=""x_x_x_MsoNormal"">&nbsp;</p><p class=""x_x_x_MsoNormal""><strong><u>İş Tanımı</u></strong><strong></strong></p><ul type=""disc""><li class=""x_x_x_MsoNormal"">Nusr-Et servis standartlarına uygun servis yapmak, </li><li class=""x_x_x_MsoNormal"">Restoranda kullanılan otomasyon (micros) sistemini etkin ve doğru kullanmak,</li><li class=""x_x_x_MsoNormal"">İş sağlığı ve güvenliği, kalite, gıda güvenliği ve hijyen standartlarına uymak.</li></ul><p><br></p><p class=""x_xxmsonormal""><strong><u>Çalışma Şartları ve Ücret Bilgisi</u></strong></p><p class=""x_xxmsonormal""></p><ul><li>&nbsp;3 vardiya mevcut. (Sabah-Öğle Akşam)</li><li>&nbsp;Haftalık 6 gün çalışma süresi 1 gün izin.</li><li>Gece kapanış vardiyası için servis hizmeti.</li><li>Yemekhane.</li></ul><p></p><p class=""x_xxmsonormal""></p><p class=""x_xxmsonormal""><strong><u>Ücret:</u></strong></p><p class=""x_xxmsonormal""></p><ul><li><strong>14 000</strong> TL Net Maaş+Tip&nbsp;</li></ul><p></p><p class=""x_xxmsonormal""></p><p><br></p><p><br></p>",Restoran Hizmetleri
3446708,Komi / Bebek Baylan,"<p><span>1923 yılında Beyoğlu’nda başlayan hikayesiyle bugün Kadıköy, Bebek ve Galataport Şubeleri ile hizmet veren, İstanbul’un en köklü işletmelerinden “Baylan” markamızın Bebek lokasyonu için,&nbsp; dinamik ekibimize katılacak “Komi</span><span>” pozisyonunda görevlendirilmek üzere çalışma arkadaşı arıyoruz.</span></p><p><span>GENEL NİTEKLİKLER</span></p><ul><li><span>Minimum lise mezunu/tercihen Turizm ve Otelcilik mezunu,</span></li><li><span>İlgili pozisyonda en az 1 yıl tecrübeli,</span></li><li>Takım çalışmasına yatkın,<br></li><li><span>İnsan ilişkileri ve iletişim becerisi güçlü,</span></li><li><span>Diksiyonu düzgün, güler yüzlü,</span></li><li><span>Kişisel görünümüne özen gösteren,</span></li><li><span>Tercihen askerliğini tamamlamış (erkek adaylar için),</span></li></ul><p><br></p><p><br></p><p><br></p>",Mutfak Hizmetleri
3446705,Çocuk Bakıcısı / Dadı,<p>2 ve 4 yaşında olan çocuklarımızla öz bakımları ve okul öncesi eğitimleri ile ilgilenebilecek çalışma arkasına ihtiyacımız var bölüm öğrencisi ya da mezunu tercihimizdir.</p>,Evde Bakım Hizmetleri
3446698,Askeri Araçlar Saha Mühendisi,"<p class=""x_MsoNormal""><strong>""Türkiyenin Milli Gücü""</strong></p><p class=""x_MsoNormal"">Türkiye’de otomotiv ve savunma sanayi kara araçlarında pazar lideri ve bir Koç Topluluğu şirketi olan Otokar’da Askeri ve Ticari araç projelerinde görev çalışma arkadaşları arıyoruz.</p><p class=""x_MsoNormal"">Dinamik bir ortamda, harika takım arkadaşlarıyla geleceğin teknolojilerine öncülük etmek istiyorsan benimadimotokar demen yeterli.</p><p class=""x_MsoNormal"">Biz Otokar olarak 1963'ten bu yana kendi teknoloji, tasarım ve uygulamalarımız ile müşterilerimizin ihtiyaçlarına uygun özel çözümler sunuyoruz. Sakarya’daki 552.000 m²’lik alana kurulu fabrikamızda 3000’den fazla çalışanımızla toplu taşımacılık alanında otobüs, nakliye ve lojistik sektörü için hafif kamyon, savunma sanayi için tekerlekli zırhlı ve paletli zırhlı araçlar üretiyoruz. Yüzde yüz Türk sermayemiz ile bugün otomotiv ve savunma sanayinde fikri mülkiyet hakları kendisine ait ürünlerimiz ile yer alıyoruz</p><p class=""x_MsoNormal""><br></p><p class=""x_MsoNormal""><strong>Neden sen?</strong></p><ul><li>Üniversitelerin Makina, Uçak ve Otomotiv Mühendisliği bölümünlerinden mezunsan,</li><li>Otomotiv sektöründe deneyimliysen,</li><li>Satış Sonrası Hizmetler konusunda tecrübeli ve kariyerine bu yönde devam etmeyi hedefliyorsan,</li><li>Satış ve müşteri odaklıysan,</li><li>Koordinasyon, iletişim ve temsil yeteneği kuvvetliyse,</li><li>Esnek çalışma saatlerine uyum sağlayabileceksen,</li><li>Çok iyi derecede İngilizce bilgisine sahipsen,</li><li>Yurt dışı seyahat engeli bulunmuyorsa,</li><li>MS Office programlarına hakimsen,</li><li>Aktif araç kullanabiliyorsan,</li></ul><p class=""x_MsoNormal"">aradığımız&nbsp;“<strong>Askeri Araçlar Saha Mühendisi”</strong>&nbsp;sen olabilirsin.</p><p class=""x_MsoNormal""><br></p><p class=""x_MsoNormal""><strong>Senden Neler Bekliyoruz?</strong></p><p class=""x_MsoNormal"">Otomotiv ve Savunma Sanayi’nde ülkemizi daha ileri taşıman için son teknolojiye sahip fırsatlar sunuyoruz. Tüm bunları yaparken senden beklediklerimiz;&nbsp;</p><ul><li>Yurt dışı son kullanıcıların tüm saha operasyonlarından sorumlu olunması,</li><li>Son kullanıcıların ve bakım birimlerinin teknik bilgi ve tecrübesini arttırmaya yönelik her türlü çalışma ve raporlama sürecini yürütülmesi,</li><li>Satış Sonrası garanti giderlerini düşürmeye ve tedarikçi garanti geri dönüşlerini arttırmaya yönelik her türlü faaliyeti ilgili fabrika birimleri ve tedarikçilerle koordineli olarak yönetilmesi,</li><li>Askeri Araçların Satış Sonrası performanslarını takip edip fabrika ile servisler ve son kullanıcılar arasındaki İletişim ve koordinasyonu sağlanması,</li><li>Müşteri şikayetlerini analiz ederek gerekli yönlendirmelerin yapılması,</li><li>Yurt dışı seyahat planlamasını ve saha ekibini koordine edilmesi,</li><li>Araç elektronik/mekanik sistemleri ve diagnostic uygulamaları hakkında son kullanıcılara gerekli teknik desteğin sağlanması,</li><li>İhale çalışmalarında Satış Sonrası hizmetleri ilgilendiren süreçlere destek verilmesi ve yönetilmesi</li><li>Son kullanıcıların ihtiyacı olan genel özel alet ve cihazların tespiti, tedariğinin sağlanması ve katalog sistemine tanıtılması görevlerini yürütülmesi,</li><li>Son kullanıcı araç başı eğitim faaliyetlerine destek sağlanması,</li><li>Servis bültenlerini hazırlamansı,</li><li>Kampanya ve Saha Testi süreçlerini yönetmek, sonuçlarını raporlaması,</li></ul><p class=""x_MsoNormal""><strong>Otokar’da sana sunabileceğimiz yan faydaların sadece birkaçı;</strong></p><ul><li>Koç Emeklilik Vakfı Üyeliği</li><li>Koç Ailem Kartı Üyeliği</li><li>Tamamlayıcı Sağlık Sigortası</li><li>Yan Hakları Esnetme Programı (Flextra)</li><li>Özel Sağlık Sigortası (İsteğe bağlı)</li><li>Ferdi Kaza Sigortası</li><li>Messt Kart</li><li>Notebook ve Modem Temini</li><li>TokenFlex</li><li>Doğum Günü Hediyesi</li><li>Yemekhane ve Servis Hizmeti</li><li>Hibrit Çalışma Sistemi</li></ul><p class=""x_MsoNormal""><strong>İşe Alım Süreçlerimiz Nasıl ilerliyor?</strong></p><p class=""x_MsoNormal"">İşe alım sürecimiz aşağıdaki aşamalardan oluşuyor. Süreçler sonunda pozisyona uygunluğuna göre seni bilgilendireceğimizi bilmeni isteriz.</p><ul><li>Başvuru</li><li>Öndeğerlendirme</li><li>İngilizcesınavı ve envanter</li><li>Yüzyüze veya online mülakat</li><li>Teknik Görüşme</li><li>Teklif</li></ul><p class=""x_MsoNormal""><strong>Otokar’da biz:</strong></p><p class=""x_MsoNormal"">Ürünleri ve kabiliyetleri ile Türkiye’de ve dünyada kendini kanıtlamış köklü bir şirketiz ve Koç Holding’in bir parçası olarak güçlü bir referansa sahibiz.</p><p class=""x_MsoNormal"">Koç Holding’in; iş ahlakı, kurumsal kültür ve geleneklere bağlılık konularında olan hassasiyetini harmanlıyor ve kendi kurumumuzda yaşatıyoruz.</p><p class=""x_MsoNormal"">Çalışma arkadaşlarımızla ortak hedefimiz olan zirveye ulaşmak için takım ruhunun gücüne inanıyor, birlikte başarmak için adım atıyor, ülkemizi hep daha ileriye taşımak için var gücümüzle çalışıyoruz.</p><p class=""x_MsoNormal"">Sektörde her geçen gün yerimizi sağlamlaştırırken gücümüzü çalışma arkadaşlarımızdan alıyor, başarıya olan inancımızı onlarla besliyoruz. Tecrübelerimizi, aramıza yeni katılan tüm arkadaşlarımızla paylaşırken onların gelişimlerine de katkıda bulunuyoruz. Çünkü inanıyoruz ki sürekli gelişim bizim ayrılmaz bir parçamız ve ancak paylaşarak başarımızı artırırız.</p><p class=""x_MsoNormal"">İnsana ve çevreye değer veririz. Güçlü yan haklar ve kulüpler ile sosyal hayatımızın desteklendiğini bilir, sosyal sorumluluk projeleriyle iyilik peşinde koşarız.</p><p class=""x_MsoNormal""><br></p><p class=""x_MsoNormal"">Daha iyisi için yaşar, daha iyilerine diye üretiriz</p><p class=""x_MsoNormal"">Birlikte yola çıktığımız herkesle</p><p class=""x_MsoNormal"">Önce bugüne sonra geleceğe değer katarız.</p><p class=""x_MsoNormal"">Çünkü biz geleceğiz.</p><p class=""x_MsoNormal""><br></p><p class=""x_MsoNormal""><strong>benimadimotokar</strong></p>",Teknik Saha Hizmetleri
3446686,Barista - Kocaeli,"<p class=""x_x_x_x_x_x_x_MsoNormal""><span>2004 yılında Eminönü’nde başlayan hikâyesiyle bugün başta Türkiye olmak üzere İngiltere, Romanya, Kuveyt ve Suudi Arabistan gibi çeşitli ülkelerde 220'i aşkın mağazası bulunan, Türkiye’nin en sevilen kahve ve çikolata zinciri Kahve Dünyası’nın dinamik ekibine katılacak, perakende gıda sektöründe deneyimli / kariyer hedefleyen&nbsp;""Barista""&nbsp;pozisyonunda görevlendirilmek üzere çalışma arkadaşı arıyoruz.</span><span></span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpFirst""><span>&nbsp;</span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>Talep edilen ürünlerin Kahve Dünyası standartlarına uygun bir şekilde hazırlanması,</span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>Misafirlerimizi güler yüzle karşılayarak mağazadan mutlu ayrılmalarını sağlamak,</span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>Sorumluluk alanındaki ürünlerin kalite ve SKT takiplerini gerçekleştirmek,</span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>Ürünlerimiz hakkında detaylı bilgi sahibi olmak ve misafirlerimize tanıtmak,</span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>Mağazanın genel görünüm, düzen ve temizliğinden sorumlu olmak,</span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>Hijyen, sağlık ve güvenlik kurallarına uygun çalışmak.</span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpLast""><span>&nbsp;</span></p><p class=""x_x_x_x_x_x_x_MsoNormal""><span>&nbsp;</span></p><p class=""x_x_x_x_x_x_x_MsoNormal""><span>GENEL NİTELİKLER</span><span></span></p><p class=""x_x_x_x_x_x_x_MsoNormal""><span>&nbsp;</span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpFirst""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>En az lise mezunu,</span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><span></span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>Tercihen yiyecek-içecek sektöründe deneyimli,</span><span></span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>Temsil yeteneği kuvvetli, misafir memnuniyeti bilincinde,</span><span></span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>Takım çalışmasına yatkın,</span><span></span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>İletişim becerisi yüksek, öğrenmeye istekli,</span><span></span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>Güler yüzlü, yardımsever ve çözüm odaklı çalışan,</span><span></span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpLast""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>Temizlik ve düzen konusunda hassas,</span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpFirst""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>Esnek çalışma saatlerine uyum sağlayabilen,</span><span></span></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpLast""><span>·<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span><span>Vardiyalı çalışma sistemine uyum sağlayabilecek,</span><span></span></p><p class=""x_x_x_x_x_x_x_MsoNormal""><span>.&nbsp; &nbsp; &nbsp; &nbsp; Erkek adaylar için tercihen askerlik görevini tamamlamış olan</span><br></p>",Restoran Hizmetleri
3446678,Temizlik Görevlisi,"<p class=""x_MsoNormal""><strong>Görev Tanımınız</strong></p><ul type=""disc""><li class=""x_MsoNormal"">Fabrikamızda Temizlik Görevlisi olarak disiplinler arası bir değer akış ekibinde çalışıyorsunuz,</li><li class=""x_MsoNormal"">Size verilen yetki ve sorumluluk dahilinde fabrika alanında toz alma, paspaslama, süpürme, yıkama vb. gibi temizleme işlemlerini gerçekleştiriyorsunuz,</li><li class=""x_MsoNormal"">Sorumlusu olduğunuz çalışma bölgesi, makina ve ekipmanın temel bakımlarından sorumlusunuz,</li><li class=""x_MsoNormal"">İş güvenliği konusunda son derece hassas davranıyorsunuz, iş güvenliğine azami önem veriyorsunuz,</li></ul><p class=""x_MsoNormal""><strong>Profiliniz</strong></p><ul type=""disc""><li class=""x_MsoNormal"">İlköğretim ya da Lise diplomanız var, </li><li class=""x_MsoNormal"">Ekip çalışmasına yatkınsınız; disiplinli ve düzenlisiniz,</li><li class=""x_MsoNormal"">Temizlik malzemelerini ve araçlarını kullanma becerisine sahipsiniz,</li><li class=""x_MsoNormal"">Amiriniz tarafından size verilen görevleri eksiksiz ve hatasız bir şekilde yerine getiriyorsunuz,</li><li class=""x_MsoNormal"">Tercihen hijyen ve temizlik belgelerine sahipsiniz, </li><li class=""x_MsoNormal"">Esnek çalışma saatlerine ayak uydurabiliyorsunuz, </li></ul>",Temizlik Hizmetleri
3446654,Yiyecek ve İçecek Servis Elemanı - İzmir,"<p class=""x_x_x_x_x_x_x_x_x_MsoNormal"" align=""center"">&nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxxxxxxxxxxxxxmsonormal"" align=""center""><strong>Yiyecek&İçecek Servis Elemanı - İzmir&nbsp; &nbsp;</strong></p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxxxxxmsonormal"">&nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxxxxxmsonormal"">Yiyecek ve İçecek Servis operasyonunun -en üst seviyede konukların memnuniyetini gözeterek- hijyen kurallarına uygun ve en hızlı şekilde, en doğru zamanlama ile belirlenen servis koşullarını yapabilecek Servis Elemanları arıyoruz.</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxxxxxmsonormal"">&nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Alsancak – İzmir’ de bulunan toplantı ve etkinlik merkezimizde çalışacak,</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Üniversite öğrencisi, Turizm ve Otel İşletmeciliği Bölümü mezunu veya Turizm Meslek Lisesi mezunu,</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 23-29 yaş aralığında,</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Minimum 1-2 yıl bilgi ve deneyime sahip,</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Restaurant, Cafe, Bar, Otelcilik alanında yiyecek&içecek servis bölümlerinde çalışmış,</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Diksiyonu düzgün,</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Takım çalışmasına yatkın,</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Esnek çalışma saatlerine uyumlu,</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Müşteri odaklı,</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Gelişime açık ve iletişim becerileri güçlü,</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Micros yazar kasa ve POS cihazı kullanabilen.</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">&nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxxxxxmsonormal""><strong>İş Tanımı&nbsp;</strong></p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">&nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Yiyecek İçecek Departmanı bünyesindeki içecek hazırlama, yiyecek/içecek servisi, kasa kullanımı, müşteri karşılama, servis ekipmanlarının hazırlanması ve bulunduğu alanların temizliği dahil tüm alanlarda aktif olarak görev yapar,</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Misafirlere sunulan servisi güler yüzlü, nazik ve etkin olarak, serviste kullanılan araç-gereçleri gerektiği gibi kullanır, masalara servisi eksiksiz yapar,</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Yiyecek ve içeceklerin misafirlere zamanında ve işletme tarafından belirlenmiş standartlara göre servisini yapar.</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Müşterilerin mevcutta ve gelecekte pozitif müşteri deneyimi yaşayacaklarına dair güven duyacakları servisi sağlar.</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal"">&nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxxxxxxxxxxxxxxxmsonormal"">&nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxxxxxxxxxxxxxxxmsonormal"">Not: Hizmet sektörü kapsamında çalışma saatleri değişebilmektedir. Konaklama bulunmamaktadır. Yiyecek&İçecek servis alanında çalışmış olanların iş başvuruları değerlendirilecek.</p><p class=""x_x_x_x_x_x_x_x_x_xxxxxxmsonormal""></p>",Yiyecek İçecek Hizmetleri
3446647,Aşçı,"<p>26 yılı aşkın süredir faaliyet gösteren restaurantımızda çalıştırılmak üzere; tercihen daha önce steakhouse restaurantta çalışmış ızgara, soğuk meze ve ara sıcak tecrübesi olan aşçı aranmaktadır.</p>",Aşçılık
3446646,Garson,"<p>Kadıköy'deki Döner salonumuza ve Coffee işletmemize daha önce bu sektörlerde çalışmış, tecrübeli garsonlar ve komiler arıyoruz.&nbsp;</p>",Restoran Hizmetleri
3446644,Barista,"<p>Kadıköy Moda caddesindeki Coffee işyerimize daha önce baristalık yapmış, tecrübeli baristalar arıyoruz.</p>",Restoran Hizmetleri
3446597,Pastahane Şefi,"<p>Pastane sektöründe yetişmiş,işinde tecrübeli,yöneticilik vasfı yüksek pasta şefi&nbsp; alınacaktır,Ankara'nın çeşitli mevkilerinden servisimiz kalkmaktadır</p>",Restoran Hizmetleri
3446595,Garson,<p>araştırma hastanesinin yakınındaki yerimize 18ile 34 yaş arası garson arıyoruz görüşmeler yüzyüze olacaktır&nbsp;</p>,Restoran Hizmetleri
