JobRefNo,DigerPozisyon,Qualifications,Classification
3458290,Şantiye Şefi,"<p>Osmaniye’de bulunan şantiyemizde görevlendirilmek üzere '' ŞANTİYE ŞEFİ '' arıyoruz.</p><p>Aranan Nitelikler:</p><p></p><ul><li>Üniversitelerin İnşaat Mühendisliği bölümlerinden mezun,</li><li>Toplamda minimum 10-12 yıl, İçmesuyu-Kanalizasyon şebekeleri yapımı işlerinde min.5 yıl, şantiye şefi pozisyonunda min. 5 yıl tecrübeye sahip, en az 2 adet İçmesuyu-Kanalizasyon şebekesi yapımı işinde çalışmış,</li><li>Şantiye ekiplerini koordine edebilecek ve sahada aktif çalışacak,</li><li>Teknik mevzuat, norm ve standartlara hâkim,</li><li>Alt yüklenici sözleşmelerini düzenleme ve yönetimi tecrübesi olan,</li><li>Maliyet analizi ve kontrol, idari, satın alma yönetimi, planlama, organizasyon veönceliklendirme becerilerine sahip,</li><li>Bütçe, metraj, kesin hesap, iş programı yapımı ve takibi, idari ve taşeron hakedişleri veperiyodik raporların hazırlık ve değerlendirmesi görevlerinde tecrübeli,</li><li>Yeterli seviyede MS Office ve Autocad uygulamalarına hakim,</li><li>Tercihan iyi derecede İngilizce okuma-yazma-konuşma bilgisine sahip,</li><li>Erkek adaylar için Askerlik Hizmetini tamamlamış.</li></ul><p></p>",İnşaat
3458282,İş Makinesi Operatörü,"<p>Firmamızın Lüleburgaz Kırklareli lokasyonunda Atıktan Türetilmiş Yakıt Üretimi tesisimizde&nbsp;görevlendirilmek üzere araçların yükleme-boşaltma işlerini düzenli ve güvenli bir şekilde yapabilecek yükleyici (Loader) ve forklift kullanabilen aşağıdaki özelliklere sahip operatör alınacaktır.</p><ul color="""" color=""""><li>İş makinesi operatörlüğü belgesine sahip olması</li><li>Forklift&nbsp;operatörlüğü belgesine sahip olması</li><li>Sorumlu olduğu iş makinasının temizliğini ve rutin bakımlarını yapabilecek</li><li>Vardiyalı çalışabilecek</li><li>Gerektiğinde fazla mesai yapabilecek</li><li>Lüleburgaz’da ikamet eden</li><li>Tercihen B sınıfı ehliyeti olup araç kullanabilen</li></ul>",İnşaat
3458277,Gayrimenkul Danışmanı,"<p>Colwell Banker Türkiye ve Dünya'da hizmet veren sektörünün devi bir gayrimenkul danışmanlığı markasıdır.&nbsp;</p><p>Danışman ve&nbsp;danışman adaylarını ofis içinde ve sahada eğitiyor, İyi birer gayrimenkul danışmanları olmaları adına elimizden gelenin en iyisini sunuyoruz.&nbsp;</p><p>Donanım olarak hazır hale gelen danışmanlarımız alım - satım- kiralama işlemleri yaparak gelir elde ediyor ,&nbsp;ofis ve marka ile paylaşıyorlar.</p><p><strong>ÖNEMLİ HATIRLATMA : Bünyemizde yer alan ya da alacak ekip arkadaşlarımıza maaş vermiyoruz. Gayrimenkul Danışmanlığı temelde maaşlı bir iş değildir.&nbsp;</strong></p><p></p><ul><li>&nbsp;Özgür bir çalışma ortamında kendi işini kurup, yönetmeyi arzulayan ve işine yatırım yapabilecek.<br></li><li>Gelişime açık; girişimci ruhlu,İletişim becerileri kuvvetli, yüksek motivasyona sahip.<br></li><li>&nbsp;Satış ve pazarlama konularında kendine güvenen.<br></li><li>Gayrimenkul sektörüne ilgi duyan ve bu sektörde kariyer yapmak isteyen.<br></li><li>Sabit maaş beklentisi olmayan,Maaşlı bir işte kazanabileceğinden çok daha yüksek kazanç hedefi olan,İyi niyet ve çalışkanlık esası ile etik değerlere sahip çıkan.&nbsp;<br></li></ul><p></p><p><strong>&nbsp;</strong></p><p><br></p>",İnşaat
3458238,Gayrimenkul Danışmanı,"<p>İngilizce dil bilgisine sahip, ( Arapça - Farsça&nbsp; bilen tercih sebebidir)&nbsp;</p><p>Güler yüzlü ,</p><p>İletişimi kuvvetli ,</p><p>Saygılı ,</p><p>Girişimci Ruha Sahip,<br></p><p>Hedef ve çözüm odaklı,<br></p><p>Öz bakımına önem veren güvenilir Gayrimenkul Danışmanı çalışma arkadaşları aramaktayız.</p>",İnşaat
3458232,İnşaat Teknikeri,"<p class=""x_x_x_MsoNormal"">İnşaat Teknikeri </p><p class=""x_x_x_MsoNormal"">*Üniversitelerin ilgili bölümlerinden mezun</p><p class=""x_x_x_MsoNormal"">*İnşaat sektöründe en az 3 yıl deneyimli</p><p class=""x_x_x_MsoNormal"">*Üst yapı projelerinde deneyim sahibi ( Tercihen Fabrika İnşaatı)</p><p class=""x_x_x_MsoNormal"">*İnşaat projesine ait inşaat proje müdür ile koordineli şekilde çalışabilecek ve tüm ofis işlerini yerine getirebilecek</p><p class=""x_x_x_MsoNormal"">*Keşif , metraj , mukayeseli keşif konusunda tecrübe sahibi</p><p class=""x_x_x_MsoNormal"">*İyi derecede Microsoft Office , Ms Project , Autocad bilen</p><p class=""x_x_x_MsoNormal"">*Çözüm odaklı ve analitik düşünebilen.</p><p class=""x_x_x_MsoNormal"">*Seyahat engeli olmayan</p><p></p><p class=""x_x_x_MsoNormal"">*İyi derecede ingilizce veya Farsça bilen&nbsp;</p>",İnşaat
3458193,İç Mimar,"<p>MOBİLYA İMALATI YAPAN ŞİRKETİMİZDE ÇALIŞMAK ÜZERE&nbsp;</p><p>Üniversitelerin iç mimarlık ya da endüstriyel tasarım bölümlerinden mezun,<br>Proje tasarım, şantiye ,teknik çizim ve uygulama alanlarında deneyime sahip,<br>Diksiyonu düzgün, müşterinin isteklerini algılayıp, kişiye özel tasarım yapabilme gücüne sahip,<br>Tercihen Autocad, 3D MAX&nbsp; programlarına hakim,<br>Tecrübeli, yaratıcı, aktif sorumluluk alabilecek, ekip çalışmasına yatkın,<br>Proje, mobilya üretim, şantiye ve özellikle saha tecrübesine sahip ve/veya iş teslimine kadar her aşamada iş takibi yapabilecek,<br>Ehliyeti olan aktif araç kullanabilen,<br>Sektörde en az 2 yıl ve üzeri deneyimli,<br><br>Takım arkadaşları aranıyor.<br></p>",İnşaat
3458112,Şantiye Mühendisi,<p>İstanbul Sultanbeyli'de inşaatına başlayacağımız nitelikli Ticari Bina Projemizde görevlendirilmek üzere aşağıdaki niteliklere uygun Şantiye Mühendisi aramaktayız.</p><p>* Nitelikli Bina Projelerinde en az 5 yıl deneyimli</p><p>* Kaba İnşaat şantiye imalatlarına hakim</p><p>* En az 2 adet Bina Projesi Kaba İnşaatı tamamlamış&nbsp;</p><p>* Şantiye Sahasında görev yapacak</p><p>* İnşaat Mühendisliği mezunu&nbsp;&nbsp;</p><p>* Sultanbeyli bölgesinde ikamet eden</p>,İnşaat
3457983,Gayrimenkul Danışman Asistanı,"<p>KW Karma ticari gayrimenkul uzmanı Ender Uygur’a portföy koruma, geliştirme ve pazarlamasına yardımcı olacak asistan aranıyor.&nbsp;</p><p>İş Tanımı:</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Aktif gayrimenkullerin internet ilanlarının girilmesi ve güncellenmesi</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Gayrimenkul özelliklerinin bilgisayar ortamında dosyalanması ve düzenli olarak güncellenmesi</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Müşteri taleplerine uygun alternatiflerin çıkartılması ve zamanlı dönüş yapılması</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Aktif gayrimenkuller için tanıtım dosyaları oluşturulması</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Portföye katılan yeni gayrimenkullerin resimlerinin çekilmesi&nbsp;ve portföy detaylarının çıkartılması</p><p>Adayda aranan özellikler:</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Üniversite mezunu</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Tam zamanlı çalışabilecek</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Düzenli, hızlı ve organize çalışmaya yatkın</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;İletişimi iyi, İkna kabiliyeti yüksek</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Bilgisayar ve internet kullanma yetisi çok yüksek</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;MS Office (Excel, Word, Power Point) aplikasyonları kullanmakta deneyimli</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;İngilizce yazma ve konuşma&nbsp;</p><p>Pozisyonun adaya sağlayacakları:</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;İstanbul ticari gayrimenkul piyasasını tüm detaylarıyla öğrenmek</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Farklı sektörlerden müşteriler ile bağlantı kurma olanağı</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Çalışma ortamı ve saatlerinde esneklik</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;KW bünyesinde gayrimenkul aracılık sektörüne giriş ve eğitimlerin parçası olmak</p>",İnşaat
3457982,Gayrimenkul Danışmanı,"<p>GENEL NİTELİKLER VE İŞ TANIMI<br><br></p><p>-Gayrimenkul sektörüne ilgi duyan ve bu sektörde kariyer yapmak isteyen,<br><br></p><p>-Maaş sistemi ile değil, girişimci olarak kendi işinin sahibi olmak isteyen,<br></p><p><br></p><p>-Performansı doğrultusunda satış ve pazarlama becerileriyle doğru orantılı, yüksek gelir elde etmek isteyen,<br><br></p><p>-Araç sahibi olan veya aktif araç kullanabilen,<br><br></p><p>- Aktif satışa istekli, insan ilişkileri güçlü, yeteneklerini satış alanında değerlendirerek minimum riskle, maksimum kazanç elde etmek isteyen&nbsp;</p><p><br></p><p>- Dinamik ve girişimci<br><br></p><p>-Kişisel gelişimine önem veren, iletişim becerisi yüksek, genel görünümüne özen gösteren,<br><br></p><p>-İç motivasyonu yüksek, gelişime ve eğitime açık kendini ve zamanını doğru yönetebilen&nbsp;<br><br></p><p><br></p><p>-Kurumsal bir kimlik altında çalışmak isteyen Bursa'da ikamet eden bay-bayan,<br><br></p><p>-Gayrimenkul danışmanları arıyoruz.<br></p>",İnşaat
3457968,İnşaat Mühendisi,"<p class=""x_x_x_x_MsoNormal"">GENEL NİTELİKLER VE İŞ TANIMI</p><p class=""x_x_x_x_MsoNormal"">İŞ TANIMI</p><ul type=""disc""><li class=""x_x_x_x_MsoNormal"">Proje metraj, malzeme analizi ve keşiflerinin oluşturulması,</li><li class=""x_x_x_x_MsoNormal"">İhtiyaç duyulan malzeme ve hizmetler için teklif isteme formlarını hazırlanması</li><li class=""x_x_x_x_MsoNormal"">Alınan teklifler ile ilgili karşılaştırma formlarını hazırlamak ve ilgili yöneticilerin onayına sunulması,</li><li class=""x_x_x_x_MsoNormal"">Keşif, birim fiyat analizi, metraj, hakediş ve kesin hesap hazırlanması,</li><li class=""x_x_x_x_MsoNormal"">Sipariş formlarına göre ve sözleşmeleri hazırlayarak ilgili yöneticilerin onayına sunulması,</li><li class=""x_x_x_x_MsoNormal"">Projelerin iş programlarının hazırlanması ve güncel olarak revize edilmesi,</li><li class=""x_x_x_x_MsoNormal"">Şantiyelerde gerçekleştirilen hizmet ve imalatlara ilişkin hakediş ve kesin hesapların kontrolü ve hazırlanması,</li><li class=""x_x_x_x_MsoNormal"">Şantiyelerden gelen periyodik raporların takibi ve arşivlenmesi,</li><li class=""x_x_x_x_MsoNormal"">Şantiyelerdeki imalatların ilerleme ve iş programlarına uygunluğunun kontrol edilmesi ve raporlanması,</li><li class=""x_x_x_x_MsoNormal"">İşlerin planlanan sürede, bütçesi dahilinde ve istenilen kalitede tamamlanması konularında gerekli kontrollerinin yapılması</li></ul><p class=""x_x_x_x_MsoNormal"">&nbsp;</p><p class=""x_x_x_x_MsoNormal"">GENEL ÖZELLİKLER</p><p class=""x_x_x_x_MsoNormal"">· Üniversitelerin İnşaat Mühendisliği veya Mimarlık bölümlerinden mezun,<br>· İnşaat malzemeleri ve hizmet alımlarında tecrübeli ve bu kapsamda satın alma yapmış,<br>· Microsoft Office Programlarını iyi derecede kullanabilen,<br>· Müzakere ve ikna yeteneği gelişmiş,<br>· Çözüm ve Sonuç odaklı, insan ilişkileri kuvvetli,<br>· Erkek adaylar için askerlik görevini tamamlamış,<br>· Aktif araç kullanabilen</p><p class=""x_x_x_x_MsoNormal"">&nbsp;</p><p>İlanı Şikayet EtDaha Az Gör</p>",İnşaat
3457956,İç Mimar,"<p>* Sektörün dinamiklerine hakim, gelişmelerini yakından takip eden</p><p>* Müşterilerimizin ihtiyaçlarına yönelik ürün gruplarının tanıtımını ve satışını sağlayan</p><p>* Markamızı en iyi şekilde temsil edecek</p><p>* İletişim becerileri kuvvetli ve girişken</p><p>* Üniversitelerin iç mimarlık bölümlerinden mezun</p><p>* Autocat ve benzeri modüler mobilya çizim programlarını etkin kullanabilen</p><p>* Tasarım ve sunum becerisi yüksek</p><p>* İletişime açık ekip çalışmasına yatkın</p><p>* Proje mobilya işerinde ölçülendirme fiyat teklifi hazırlayabilecek&nbsp;</p><p><br></p>",İnşaat
3457911,İnşaat Teknikeri,"<p class=""x_x_x_x_x_x_x_MsoNormal"" align=""center""><strong>İNŞAAT TEKNİKERİ</strong></p><p class=""x_x_x_x_x_x_x_MsoNormal"">Madencilik sektöründe faaliyet gösteren firmamızın, Sivas/Divriği maden sahasında görevlendirilmek üzere&nbsp;<strong>İnşaat Teknikeri</strong> arayışımız bulunmaktadır.</p><p class=""x_x_x_x_x_x_x_MsoNormal""><strong>GENEL NİTELİKLER: </strong></p><ul><li>İlgili MYO mezunu ve en az 5 Yıl Mesleki Tecrübeli</li><li>AutoCAD ve MS Office uygulamalarına hâkim</li><li>En az B sınıfı ehliyetli ve aktif araç kullanabilen</li><li>SRC 2 / SRC 4 belgelerine sahip</li><li>Analitik düşünce ve iş takibi becerileri gelişmiş&nbsp; &nbsp;&nbsp;</li><li>Detaycı ve dikkatli kişiliğe sahip</li><li>Analitik düşünce ve iş takibi becerileri gelişmiş</li><li>Erkek adaylar için askerlik vazifesi ile ilişiği olmamak</li><li>Sivas Divriği’nde ikamet eden veya edebilecek olan</li></ul><p class=""x_x_x_x_x_x_x_MsoNormal""><strong>İŞ TANIMI:&nbsp;</strong></p><ul><li>Hizmet alanına giren işler için gerekli malzeme ihtiyacını belirleyip teminini sağlamak,<br></li><li>Yapılan hizmetler ile ilgili gerekli raporları hazırlamak ve üst amirine sunmak,<br></li><li>Yürütülecek inşaat faaliyetleri ile ilgili kalite kontrollerinin sağlanması, uygunsuzlukların belirlenmesi<br></li><li>Beton santralinin günlük ihtiyaçlarının belirlenmesi, stokların kontrolü (kum, agrega, çimento, katkı malzemeleri vs.) ve düzenli çalışabilmesi için bakım-onarım faaliyetlerinin yürütülmesi,<br></li><li>İnşaat faaliyetlerinde kullanılacak olan beton, donatı vb malzemelere yönelik, laboratuvar deneylerinin yapılması ve raporlanmasının sağlanması,<br></li><li><p class=""x_x_x_x_x_x_x_MsoListParagraph"">İnşaat sahasına gelen malzemelerin sayımlarının yapılması ve raporlanması.</p></li></ul>",İnşaat
3457863,Şantiye Şefi,"<p class=""x_x_x_MsoNormal"">İnşaat Sektöründe zemin kaplamaları konusunda dünya lideri POLYFLOR (UK) ve GRABOPLAST (HU) markalarının Türkiye Genel Distribütörlüğünü yapmakta olan ve tecrübesini kaliteli hizmet anlayışıyla birleştirerek alternatif çözümler sunan&nbsp;TUSAFLOR YAPI SİSTEMLERİ İNŞAAT SANAYİ TİCARET A.Ş. Genel Müdürlük Merkez Ofisine bağlı olarak Proje Departmanı bünyesinde, Türkiye Genelindeki Şantiyelerinde görevlendirilecek “<strong>Şantiye Şefleri</strong>” pozisyonu için aşağıdaki özellikleri taşıyan takım arkadaşları arıyor. </p><p class=""x_x_x_MsoListParagraph"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Üniversitelerin İnşaat Mühendisliği, İnşaat Teknolojisi, Mimarlık Bölümlerinden mezun,</p><p class=""x_x_x_xxxxxxxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Alanında ve saha uygulamalarında aktif olarak en az 5 yıl deneyime sahip,</p><p class=""x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tercihen Zemin Kaplamaları uygulama projelerinde uzmanlaşmış,</p><p class=""x_x_x_xxxxxxxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Mimari ince işler uygulamalarında detay çözümlerinin yapılması konusunda kendini yetiştirmiş,</p><p class=""x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Autocad / MS Office / 3D programlarını çok iyi derecede kullanabilen,</p><p class=""x_x_x_xxxxxxxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; İhtiyaçlar doğrultusunda proje detay çözümlemelerini ve çizimlerini yapabilecek,</p><p class=""x_x_x_xxxxxxxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Çözüm odaklı, analitik düşünme yetisine sahip, takım çalışmasına yatkın,</p><p class=""x_x_x_xxxxxxxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Stres ve zaman yönetimi becerileri gelişmiş,</p><p class=""x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Yoğun ve esnek çalışma saatlerine uyum sağlayabilecek,</p><p class=""x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Erkek adaylar için askerlik görevini tamamlamış,</p><p class=""x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Oto ehliyetli (aktif kullanıcı) ve seyahate engeli olmayan,</p><p class=""x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tercihen Ticari Araç SRC kullanıcı belgesine sahip,</p><p class=""x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tercihen İngilizce bilgisine sahip,</p><p></p><p class=""x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Ankara’da ikamet eden</p><p class=""x_x_x_MsoNormal"">İŞ TANIMI</p><p class=""x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Projelerin döşeme metrajlarının çıkartmak ve sözleşme aşamasına getirmek,</p><p class=""x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Malzemelerin şantiyeye sahasına indirilmesini ve depolanmasını organize etmek,</p><p class=""x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Uygulama aşamalarına göre malzemelerin katlara taşınmasını sağlamak,</p><p class=""x_x_x_xxxxxxxxxxxmsonormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Metraj hak ediş ve ataşmanları uygun zamanlarda hazırlamak, kontrollerini yapmak ve onaylatmak,</p><p class=""x_x_x_MsoListParagraphCxSpFirst"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Şantiyede çalışan taşeronlarımızın uygulamalarını projeye, programa ve sözleşmeye uygun olarak yürütüp yürütmediklerini denetlemek,</p><p class=""x_x_x_MsoNormal""></p><p class=""x_x_x_MsoListParagraphCxSpLast"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Uygulama sırasında gözlemlenen aksaklık ve eksiklikleri saptamak ve üstüne bilgi vererek gerekli uyarıları zamanında yapmak.</p><p class=""x_x_x_MsoNormal""></p><p class=""x_x_x_xxxxxxxxxxxmsonormal"">&nbsp;</p><p></p><p class=""x_x_x_xxxxxxxxxxxmsonormal"">&nbsp;</p>",İnşaat
3457846,Hi-Up / Hiyap Vinç Operatörü,"<p>çelik konstrüksiyon firmamızda montaj işlerinde firmamıza ait vinçleri kullanabiliecek,30-40&nbsp; ton kapasiteli hiyap vinç tecrübesi olan, hertürlü belgeye sahip operatör alınacaktır.</p>",İnşaat
3457775,Şantiye Şefi,"<p>SERA GROUP AİLESİ İÇİN “GÜVEN” KALBİN ATTIĞI YERDİR.<br><br>1995 yılında kurulan Sera Group, Türkiye’de ve yurtdışında ağırlıklı olarak büyük inşaat projeleri gerçekleştirmektedir. Sera Group aynı zamanda gayrimenkul geliştirme ve stratejik yatırımlara odaklanmış bir gruptur. Bugüne kadar toplam 5 milyon m2’lik alt ve üstyapı inşaat projesini başarıyla tamamlamıştır.</p><p><br>SERA Group; inşaat ve havacılık sektöründe Türkiye'de pazar lideri konumunda olan TAV Havalimanları Holding’in; TAV İnşaat ve TAV İnşaat’ın bağlı bulunduğu tüm kuruluşların&nbsp; ortağıdır. Bir diğer yatırımı olan TUVTURK projesi kapsamında yılda 100.000 araca hizmet veren Trabzon ve Of araç muayene istasyonlarını işletmektedir.</p><p>Sera Yapı Endüstrisi olarak,&nbsp;<strong>Kocaeli Kartepe&nbsp; Lojistik Terminal Projemiz'</strong>de&nbsp;görev almak üzere&nbsp;<strong>""Şantiye Şefi""</strong>&nbsp;arayışımız bulunmaktadır.</p><p></p><p><strong>Genel Nitelikler:</strong></p><ul type=""disc""><li class=""x_MsoNormal"">Üniversitelerin İnşaat Mühendisliği bölümlerinden mezun, </li><li class=""x_MsoNormal"">En az 10&nbsp;yıl alt yapı ve yol işlerinde saha deneyimi olan,</li><li class=""x_MsoNormal"">İletişim becerileri yüksek, koordinasyon yeteneği güçlü, </li><li class=""x_MsoNormal"">MS Excel, MS Word ve AutoCAD kullanabilen, </li><li class=""x_MsoNormal"">Analitik ve problem çözme becerisi olan, </li><li class=""x_MsoNormal"">Yeniliklere ve gelişime açık, </li><li class=""x_MsoNormal"">Sonuç odaklı, </li><li class=""x_MsoNormal"">Kartepe Kocaeli’nde ikamet eden / edebilecek olan. </li></ul><p class=""x_MsoNormal""><strong>&nbsp;İş Tanımı:</strong></p><ul type=""disc""><li class=""x_MsoNormal"">Taşeron imalatlarının sevk ve idaresi ile ölçümlemeleri yapılması,</li><li class=""x_MsoNormal"">İmalatları, uygulama projeleri ve imalat/atölye çizimlerine göre takip edilmesi,</li><li class=""x_MsoNormal"">Sorumlu olduğu imalatların iş ilerleme durumu, olası sorunları ve planlaması hakkında Proje Müdürü'ne rapor verilmesi,</li><li class=""x_MsoNormal"">Kendisine bağlı ekiplerin koordinasyonu sağlanması ve süpervize edilmesi,</li><li class=""x_MsoNormal"">Sorumlusu olduğu tüm imalatları koordine ederek eksiksiz ve tam olarak kalite ekiplerine teslim edilmesi.</li><li class=""x_MsoNormal"">Alt Yüklenici ekiplerinin, makina ekipman ve malzemelerin günlük iş programına göre sevk, idare ve takibinin yapılması,</li></ul>",İnşaat
3457692,Döşeme Ustası,"<p class=""x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">DÖŞEME USTASI&nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">ERKEK ADAYLAR İÇİN ASKERLİĞİNİ YAPMIŞ<br></p><p class=""x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">BURSADA İKAMET EDEN<br></p><p class=""x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">TERCİHEN EV MOBİLYASI YADA OFİS MOBİLYASI&nbsp; SEKTÖRÜNDE EN AZ 3 YIL&nbsp;TECRÜBELİ</p><p class=""x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">&nbsp;ÇALIŞMA ARKADAŞLARI ARANMAKTADIR.</p>",İnşaat
3457679,Gayrimenkul Satış Danışmanı,"<p><strong>İstanbul Avrupa Yakasında&nbsp;</strong><strong>tercihen</strong>&nbsp;<strong>Kağıthane -Alibeyköy-Şişli&nbsp; lokasyonlarına yakın bölgede ikamet eden;</strong></p><ul><li>Satış danışmanlarının ekip olarak saha çalışmalarını organize edip gerektiğinde ofis içi destek verebilmek,</li><li>Görev takibi ve müşteri raporlarını yapabilmek,</li><li>Portallardaki mağazalarımıza ilan girişlerini yapıp, güncelliklerini takip etmek,</li><li>Emlak Satış Sözleşmesi /Emlak Kiralama Kontratı hazırlayabilecek,Tapu sürecini takip edebilecek,</li></ul><ul><li>Tercihen Ön lisans / Lisans mezunu,</li><li>Esnek çalışma saatleri ve yoğun iş temposuna uyum sağlayabilecek</li><li>Orta derecede İngilizce bilgisine sahip</li><li>Tercihen gayrimenkul sektöründe deneyimli,- Gelen müşterilerimizi karşılayıp, doğru departmana ya da ilgili personele yönlendirebilecek ,</li><li>Ofis içinde günlük rutin işleri takip edebilecek, görev ve sorumluluklarını yerine getirip raporlama yapabilecek,</li><li>Müşteri ve çözüm odaklı yaklaşıma sahip,</li><li>Takım çalışmasına yatkın,</li><li>Raporlama becerisi yüksek, analitik, planlı,</li><li>İş ahlakına önem veren, dinamik ve güler yüzlü,</li><li>Prezentabl, ikna kabiliyeti yüksek,</li><li>Diksiyonu düzgün,</li><li>MS Office programlarını iyi derecede kullanabilen,</li><li>Satış sözleşmeleri, teslim süreçleri, bankalar ve müşteri iletişimi konularında bilgi sahibi,</li><li>Hafta sonu pazar günü izin kullanabilecek,</li></ul><p><br></p>",İnşaat
